Size(bytes)	# Iterations	Totaltime(secs)	Time per message	Bandwidth(MB/s)
360	17447525	25.000003	0.000001	239.605265
630	15345462	25.000006	0.000002	368.791147
900	16334001	25.000006	0.000002	560.783292
1170	14849189	25.000006	0.000002	662.748217
1440	15291407	25.000001	0.000002	839.982032
1710	14666886	25.000003	0.000002	956.740273
1980	15094292	25.000002	0.000002	1140.086983
2250	13337743	25.000003	0.000002	1144.787548
2520	13577154	25.000003	0.000002	1305.176694
2790	13250033	25.000003	0.000002	1410.201547
3060	13255867	25.000004	0.000002	1547.353626
3330	12067583	25.000008	0.000002	1532.937559
3600	13044956	25.000001	0.000002	1791.452013
3870	12517581	25.000004	0.000002	1847.954972
4140	8170983	25.000008	0.000003	1290.430407
4410	8159862	25.000004	0.000003	1372.718253
4680	8143545	25.000002	0.000003	1453.849311
4950	7577915	25.000011	0.000003	1430.918210
5220	7832151	25.000001	0.000003	1559.594194
5490	7553898	25.000007	0.000003	1581.988838
5760	6995223	25.000002	0.000004	1537.036209
6030	7260609	25.000004	0.000003	1670.130374
6300	7562042	25.000005	0.000003	1817.354379
6570	7493229	25.000004	0.000003	1877.994827
6840	7201599	25.000005	0.000003	1879.078955
7110	7442198	25.000022	0.000003	2018.508205
7380	7044468	25.000002	0.000004	1983.191274
7650	6995911	25.000002	0.000004	2041.576975
7920	6862908	25.000013	0.000004	2073.448328
8190	6694299	25.000009	0.000004	2091.456975
8460	6447960	25.000015	0.000004	2080.906240
8730	6298104	25.000006	0.000004	2097.413457
9000	6313859	25.000007	0.000004	2167.690866
9270	6291516	25.000009	0.000004	2224.820423
9540	6294816	25.000011	0.000004	2290.821812
9810	6221876	25.000011	0.000004	2328.360658
10080	6310522	25.000003	0.000004	2426.531010
10350	6194707	25.000005	0.000004	2445.800992
10620	6210102	25.000013	0.000004	2515.840501
10890	6179245	25.000008	0.000004	2566.984467
11160	6168063	25.000003	0.000004	2625.868833
11430	6005315	25.000000	0.000004	2618.436816
11700	5951281	25.000019	0.000004	2656.171173
11970	5856864	25.000001	0.000004	2674.356809
12240	5801541	25.000008	0.000004	2708.848552
12510	5740813	25.000012	0.000004	2739.621562
12780	5805152	25.000020	0.000004	2830.115643
13050	5735478	25.000005	0.000004	2855.223567
13320	5647859	25.000003	0.000004	2869.776699
13590	5708985	25.000015	0.000004	2959.635172
13860	5701619	25.000008	0.000004	3014.542151
14130	5550833	25.000015	0.000005	2991.990057
14400	5691054	25.000009	0.000004	3126.188193
14670	5581604	25.000013	0.000004	3123.553817
14940	5511232	25.000013	0.000005	3140.936376
15210	5487376	25.000004	0.000005	3183.859885
15480	5345382	25.000005	0.000005	3156.528327
15750	5373023	25.000002	0.000005	3228.191636
16020	5315795	25.000004	0.000005	3248.558949
16290	5341481	25.000009	0.000005	3319.270837
16560	5382995	25.000001	0.000005	3400.512404
16830	5280144	25.000006	0.000005	3389.923212
17100	5448456	25.000007	0.000005	3554.099002
17370	5189468	25.000006	0.000005	3438.607642
17640	5160077	25.000000	0.000005	3472.280799
17910	4984705	25.000018	0.000005	3405.609195
18180	5140113	25.000012	0.000005	3564.728187
18450	5369988	25.000001	0.000005	3779.459931
18720	5231241	25.000002	0.000005	3735.688154
18990	5272659	25.000008	0.000005	3819.571051
19260	5173155	25.000001	0.000005	3800.772097
19530	5218413	25.000003	0.000005	3887.771335
19800	5047869	25.000001	0.000005	3812.706058
20070	5083214	25.000016	0.000005	3891.755618
20340	5103647	25.000014	0.000005	3959.965610
20610	5062552	25.000011	0.000005	3980.222733
20880	5115558	25.000036	0.000005	4074.581088
21150	5124554	25.000011	0.000005	4134.531794
21420	5047462	25.000022	0.000005	4124.31870
21690	5120935	25.000009	0.000005	4237.100157
21960	5088679	25.000012	0.000005	4262.822659
22230	4697922	25.000016	0.000005	3983.869070
22500	4870946	25.000007	0.000005	4180.765321
22770	4685065	25.000001	0.000005	4069.478037
23040	4938400	25.000001	0.000005	4340.390402
23310	4909940	25.000018	0.000005	4365.944647
23580	4741720	25.000013	0.000005	4265.201493
23850	4769581	25.000005	0.000005	4339.389271
24120	4657571	25.000008	0.000005	4285.452938
24390	4577217	25.000064	0.000005	4258.653143
24660	4417170	25.000000	0.000006	4155.250991
24930	4730787	25.000012	0.000005	4498.995391
25200	4310867	25.000005	0.000006	4144.051567
25470	4206178	25.000011	0.000006	4086.734942
25740	4308272	25.000003	0.000006	4130.305059
26010	4328955	25.000025	0.000006	4125.196876
26280	4327486	25.000014	0.000006	4098.312767
26550	4270828	25.000022	0.000006	4325.499849
26820	4474458	25.000008	0.000006	4577.824564
27090	4524249	25.000012	0.000006	4675.363433
